,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,North Carolina
26,North Dakota
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Texas
35,Utah
36,Vermont
37,Virginia
38,West Virginia
39,Wisconsin
40,Wyoming
